"자전거번호","대여일시","대여 대여소번호","대여 대여소명","대여거치대","반납일시","반납대여소번호","반납대여소명","반납거치대","이용시간(분)","이용거리(M)","생년","성별","이용자종류","대여대여소ID","반납대여소ID","자전거구분"
"SPB-50006","2025-12-01 01:20:53","00233","양평1동 YP센터 앞","0","2025-12-01 01:45:28","03794","안양천합수부(현대3차아파트)","0","24","230.00","1966","M","내국인","ST-282","ST-2553","일반자전거"
"SPB-65840","2025-12-01 01:18:10","00415","DMC역 9번출구 앞","0","2025-12-01 01:45:30","00933","역촌종합시장 버스정류장(예일여고 방면)","0","27","5243.05",\N,\N,\N,"ST-95","ST-481","일반자전거"
"SPB-34868","2025-12-01 00:57:10","04615","크라운호텔앞 버스정류소","0","2025-12-01 01:45:33","04615","크라운호텔앞 버스정류소","0","48","7131.59","1996","F","내국인","ST-2446","ST-2446","일반자전거"
"SPB-73217","2025-12-01 01:02:54","04345","반포역 4번출구","0","2025-12-01 01:45:36","04615","크라운호텔앞 버스정류소","0","42","5965.73",\N,\N,\N,"ST-3310","ST-2446","일반자전거"
"SPB-62612","2025-12-01 01:35:12","03009","홍대입구역 사거리","0","2025-12-01 01:45:39","00154","마포구청역","0","10","1435.18","1995","F","내국인","ST-2167","ST-211","일반자전거"
"SPB-73261","2025-12-01 01:38:07","01012","천호역효성해링턴타워 앞","0","2025-12-01 01:45:42","04952","천호시장 버스정류소 옆","0","7","1044.39","2001",\N,"내국인","ST-496","ST-3209","일반자전거"
"SPB-73617","2025-12-01 01:40:46","04420","성북구 한예종 캠퍼스 별관","0","2025-12-01 01:45:44","01333","석관초등학교 앞","0","4","822.49",\N,\N,\N,"ST-3039","ST-579","일반자전거"
"SPB-44005","2025-12-01 01:35:24","04565","영등포 신세계백화점","0","2025-12-01 01:45:45","00231","남부고용노동지청 남측","0","10","1267.31","1995",\N,"내국인","ST-2815","ST-280","일반자전거"
"SPB-59779","2025-12-01 01:19:50","02058","동작경찰서","0","2025-12-01 01:45:48","02054","삼익아파트","0","25","4040.00",\N,\N,\N,"ST-1150","ST-700","일반자전거"
"SPB-47995","2025-12-01 01:33:05","03009","홍대입구역 사거리","0","2025-12-01 01:45:52","00154","마포구청역","0","12","1991.89",\N,\N,\N,"ST-2167","ST-211","일반자전거"
"SPB-52285","2025-12-01 01:40:29","04162","노량진1동 청소년독서실","0","2025-12-01 01:45:54","02050","노량진역 5번출구","0","5","871.30","1979","M","내국인","ST-2652","ST-699","일반자전거"
"SPB-73332","2025-12-01 01:39:21","03674","강동리버스트7단지","0","2025-12-01 01:45:58","01056","강일리버파크 7~11단지","0","6","1130.08","2001","M","내국인","ST-2744","ST-1597","일반자전거"
"SPB-33074","2025-12-01 01:26:23","01321","국민은행 종암동지점 앞","0","2025-12-01 01:46:01","01360","정릉역","0","19","3094.92","1992","F","내국인","ST-655","ST-1386","일반자전거"
"SPB-51021","2025-12-01 01:18:14","03904","테크노마트 앞","0","2025-12-01 01:46:01","00792","목동트라팰리스 웨스턴에비뉴","0","27","3788.04",\N,\N,\N,"ST-2464","ST-2017","일반자전거"
"SPB-31892","2025-12-01 01:40:40","04210","가좌행복주택 앞","0","2025-12-01 01:46:04","00165","중앙근린공원","0","5","654.95","1982","M","내국인","ST-2533","ST-222","일반자전거"
"SPB-74732","2025-12-01 01:36:40","02136","신림역 8번출구","0","2025-12-01 01:46:06","03819","서울대벤처타운역","0","9","1692.51",\N,\N,\N,"ST-976","ST-3143","일반자전거"
"SPB-72857","2025-12-01 01:23:27","01319","종암박스파크","0","2025-12-01 01:46:14","04406","장곡초등학교 앞","0","22","3827.11","2005","F","내국인","ST-564","ST-2731","일반자전거"
"SPB-73259","2025-12-01 01:28:08","01145","곰달래 문화복지센터 B","0","2025-12-01 01:46:18","00765","오목교역 3번출구","0","18","3388.33",\N,"M","내국인","ST-536","ST-1731","일반자전거"
"SPB-57471","2025-12-01 01:35:31","03676","강동리엔파크9단지","0","2025-12-01 01:46:20","03673","강동리버스트6단지","0","10","1919.80","1983","M","내국인","ST-2696","ST-2743","일반자전거"
"SPB-33308","2025-12-01 01:31:13","03559","성동구민종합체육센터 건너편","0","2025-12-01 01:46:21","04137","답십리역 4번출구","0","15","2486.80","1999","M","내국인","ST-2341","ST-3316","일반자전거"
"SPB-39094","2025-12-01 01:41:36","00637","KAIST 경영대학 앞","0","2025-12-01 01:46:25","04113","한국국방연구원 앞","0","4","639.85","2004","M","내국인","ST-404","ST-2504","일반자전거"
"SPB-68454","2025-12-01 00:51:18","01977","천왕역 1번 출입구 앞","0","2025-12-01 01:46:27","01912","한신휴아파트 앞","0","55","10856.53","1997","M","내국인","ST-1239","ST-669","일반자전거"
"SPB-57089","2025-12-01 01:42:08","00272","당산육갑문","0","2025-12-01 01:46:30","00247","당산역 10번출구 앞","0","4","230.09","2000",\N,"내국인","ST-426","ST-295","일반자전거"
"SPB-38305","2025-12-01 01:29:10","00996","응암역2번출구 국민은행 앞","0","2025-12-01 01:46:46","00421","마포구청 앞","0","17","3996.56","1975","M","내국인","ST-2264","ST-82","일반자전거"
"SPB-32529","2025-12-01 01:42:05","02719","마곡문화공원","0","2025-12-01 01:46:48","01162","공항초등학교건너편","0","4","886.07","1991",\N,"내국인","ST-2035","ST-1253","일반자전거"
"SPB-50773","2025-12-01 01:38:07","00103","망원역 2번출구 앞","0","2025-12-01 01:46:50","03002","벽산상암스마트큐브","0","8","1304.17","1982","M","내국인","ST-5","ST-2160","일반자전거"
"SPB-58932","2025-12-01 01:42:18","01707","도봉구민회관","0","2025-12-01 01:46:50","04096","창동역2번출구 하나은행365 앞","0","4","1103.29","2004","M","내국인","ST-615","ST-3368","일반자전거"
"SPB-47932","2025-12-01 01:44:00","03726","삼양동사거리","0","2025-12-01 01:47:04","03726","삼양동사거리","0","3","88.37","2007","M","내국인","ST-3234","ST-3234","일반자전거"
"SPB-67287","2025-12-01 01:41:59","04826","홈플러스 면목점","0","2025-12-01 01:47:13","04107","장안동근린공원 입구","0","5","1149.70","1998",\N,"내국인","ST-2904","ST-2500","일반자전거"
"SPB-72241","2025-12-01 01:33:39","02619","석촌고분역 4번출구","0","2025-12-01 01:47:26","01251","석촌역 2번출구","0","13","1629.05","2003","M","내국인","ST-1729","ST-1070","일반자전거"
"SPB-74072","2025-12-01 01:20:58","04453","위례중앙푸르지오 201동 앞","0","2025-12-01 01:47:37","02351","청소년수련관(수영장)앞","0","26","5718.36","1990","M","내국인","ST-2572","ST-937","일반자전거"
"SPB-70911","2025-12-01 01:42:24","05082","가양역 7번출구","0","2025-12-01 01:47:40","01175","대한항공 인력개발센터","0","5","850.00","1995",\N,"내국인","ST-3094","ST-1512","일반자전거"
"SPB-46996","2025-12-01 01:26:37","04385","용답동 우체국 주변","0","2025-12-01 01:47:47","01308","안암로터리 버스정류장 앞","0","21","2438.63","1997","M","내국인","ST-3099","ST-827","일반자전거"
"SPB-74133","2025-12-01 01:40:05","02742","강서구민올림픽체육센터","0","2025-12-01 01:48:00","01197","엠펠리체 호텔 건너편","0","7","1379.69","1990","M","내국인","ST-2059","ST-1714","일반자전거"
"SPB-69098","2025-12-01 01:41:12","05086","가양테크노타운","0","2025-12-01 01:48:14","01173","강서구청사거리(SH타워)","0","7","1128.96",\N,\N,\N,"ST-3118","ST-1510","일반자전거"
"SPB-71863","2025-12-01 01:39:34","00739","신월사거리","0","2025-12-01 01:48:17","02745","수명초등학교","0","8","1595.76","1979","M","내국인","ST-1010","ST-2412","일반자전거"
"SPB-73437","2025-12-01 01:34:48","04281","명지대사거리","0","2025-12-01 01:48:17","00113","홍대입구역 2번출구 앞","0","13","2798.59","2002","M","내국인","ST-3411","ST-18","일반자전거"
"SPB-56876","2025-12-01 01:45:57","03523","건국대학교 과학관(이과대) 앞","0","2025-12-01 01:48:19","00591","건국대학교 (행정관)","0","2","0.00",\N,\N,\N,"ST-1429","ST-973","일반자전거"
"SPB-50757","2025-12-01 01:14:21","02172","나들목공원","0","2025-12-01 01:48:21","03914","신도림쌍용플래티넘노블아파트 앞","0","34","7556.03","1995","M","내국인","ST-1267","ST-2892","일반자전거"
"SPB-37271","2025-12-01 01:40:46","01136","등촌2파출소","0","2025-12-01 01:48:21","01132","등촌역 7번출구","0","7","825.91","1966","M","내국인","ST-531","ST-528","일반자전거"
"SPB-56647","2025-12-01 01:06:13","04102","휘경1동주민센터 앞","0","2025-12-01 01:48:27","01539","419민주묘지역","0","42","11890.00","2002","M","내국인","ST-2496","ST-1389","일반자전거"
"SPB-60760","2025-12-01 01:20:59","04077","도봉제1교","0","2025-12-01 01:48:48","01671","인덕대학교","0","27","5700.00","1901",\N,"내국인","ST-2799","ST-1288","일반자전거"
"SPB-50015","2025-12-01 00:40:29","03534","건대입구역 5번출구 뒤","0","2025-12-01 01:48:49","00501","광진문화예술회관 앞","0","68","2803.45","2005","M","내국인","ST-1661","ST-98","일반자전거"
"SPB-74071","2025-12-01 01:34:45","01941","오류동역 2번출구","0","2025-12-01 01:49:00","03918","이좋은집오피스텔 앞","0","14","1246.58","1984","M","내국인","ST-871","ST-2997","일반자전거"
"SPB-63622","2025-12-01 01:43:23","02630","서울방이동 고분군","0","2025-12-01 01:49:07","05782","오금현대 아파트 상가입구 앞","0","5","880.00",\N,\N,\N,"ST-1857","ST-3343","일반자전거"
"SPB-47961","2025-12-01 01:40:02","05328","롯데캐슬시그니처아파트 앞","0","2025-12-01 01:49:11","01659","중계동 을지중학교","0","9","1630.00","2007","M","내국인","ST-3274","ST-1127","일반자전거"
"SPB-61241","2025-12-01 01:43:42","01771","성원APT버스정류소","0","2025-12-01 01:49:13","04086","도봉로 534","0","5","750.26","1985","M","내국인","ST-2116","ST-3091","일반자전거"
"SPB-61027","2025-12-01 01:34:35","04671","청구성심병원 앞","0","2025-12-01 01:49:17","00954","은평뉴타운구파발9단지","0","14","2592.23",\N,\N,"내국인","ST-2782","ST-1329","일반자전거"
"SPB-53032","2025-12-01 01:38:07","02620","송파나루역 4번 출구옆","0","2025-12-01 01:49:21","02641","송파역 4번출구","0","11","1468.05",\N,\N,\N,"ST-1730","ST-1793","일반자전거"
"SPB-50169","2025-12-01 01:27:56","03581","광진광장","0","2025-12-01 01:49:25","00648","장안동위더스빌옆","0","21","3397.76",\N,\N,\N,"ST-2320","ST-1300","일반자전거"
"SPB-73347","2025-12-01 01:42:23","02648","헬리오시티 112동 앞","0","2025-12-01 01:49:28","02658","가락몰 업무동","0","7","1340.35",\N,\N,\N,"ST-1869","ST-2409","일반자전거"
"SPB-45611","2025-12-01 01:36:37","01150","송정역 1번출구","0","2025-12-01 01:49:30","01187","강서수산물도매시장","0","12","1126.44","1974","M","내국인","ST-1062","ST-1676","일반자전거"
"SPB-69417","2025-12-01 01:42:02","05881","세계청소년NGO교육문화원","0","2025-12-01 01:49:35","04601","양평역2번출구 뒤","0","7","1648.73",\N,\N,\N,"ST-3322","ST-3030","일반자전거"
"SPB-67785","2025-12-01 01:13:09","02325","대치삼성아파트 앞 교차로","0","2025-12-01 01:49:40","03604","삼성중앙역 5번출구","0","36","2191.35","2006","M","내국인","ST-808","ST-2671","일반자전거"
"SPB-60383","2025-12-01 01:39:46","04824","상봉신협 앞","0","2025-12-01 01:49:42","01451","중랑세무서","0","9","1835.45","1996",\N,"내국인","ST-2922","ST-1334","일반자전거"
"SPB-71492","2025-12-01 01:45:26","01437","늘푸른공원 앞","0","2025-12-01 01:49:47","01452","겸재교 진입부","0","4","630.00","1950","F","내국인","ST-595","ST-1335","일반자전거"
"SPB-53259","2025-12-01 01:43:36","04837","양원지구 힐데스하임 앞","0","2025-12-01 01:49:47","04840","서울시 북부병원 앞","0","6","586.74","1961",\N,"내국인","ST-3024","ST-3035","일반자전거"
"SPB-52988","2025-12-01 01:37:36","04835","망우동 본죽 앞","0","2025-12-01 01:49:48","01474","서울중랑우체국","0","12","2033.41",\N,\N,\N,"ST-3006","ST-2295","일반자전거"
"SPB-73934","2025-12-01 01:45:40","05509","신석초교 앞","0","2025-12-01 01:49:50","00146","마포역 2번출구 뒤","0","4","842.66","1963",\N,"내국인","ST-3408","ST-204","일반자전거"
"SPB-51517","2025-12-01 01:41:51","04169","신대방삼거리","0","2025-12-01 01:49:50","05886","신풍역 2번출구","0","7","1499.69","1994","","내국인","ST-2654","ST-3359","일반자전거"
"SPB-69124","2025-12-01 01:42:20","02417","선정릉 디캠프(D,CAMP)앞","0","2025-12-01 01:49:52","02353","강남구청역 2번출구 뒤","0","7","1176.40",\N,\N,\N,"ST-1883","ST-963","일반자전거"
"SPB-82837","2025-12-01 01:36:10","00454","종로2가 버스정류장 (종각방향)","99","2025-12-01 01:50:00","00307","서울역사박물관 앞","99","13","1510.00",\N,\N,\N,"ST-1607","ST-123","새싹자전거"
"SPB-59210","2025-12-01 01:48:06","05055","마곡역5번출구앞","0","2025-12-01 01:50:07","01192","마곡수명산파크 209동 건너편","0","2","333.59","1959",\N,"내국인","ST-2884","ST-1710","일반자전거"
"SPB-73682","2025-12-01 01:32:51","01182","KBS 스포츠월드","0","2025-12-01 01:50:12","01192","마곡수명산파크 209동 건너편","0","17","2504.97","2004","M","내국인","ST-1519","ST-1710","일반자전거"
"SPB-72731","2025-12-01 01:44:59","02362","신사동 가로수길 입구","0","2025-12-01 01:50:22","04907","극동스포츠 앞","0","5","951.01","1958","M","내국인","ST-1171","ST-3078","일반자전거"
"SPB-68174","2025-12-01 01:49:00","01153","발산역 1번, 9번 인근 대여소","0","2025-12-01 01:50:29","02730","마곡메가박스 앞","0","1","170.00","1964","F","내국인","ST-1065","ST-2047","일반자전거"
"SPB-53276","2025-12-01 00:32:14","04671","청구성심병원 앞","0","2025-12-01 01:50:38","00287","영등포전화국사거리 (서강어린이공원)","0","78","15281.23","1996",\N,"내국인","ST-2782","ST-1653","일반자전거"
"SPB-65815","2025-12-01 01:45:05","03202","당산롯데캐슬프레스티지","0","2025-12-01 01:50:43","00267","삼성화재 사옥 옆","0","5","891.05","1995","M","내국인","ST-1973","ST-421","일반자전거"
"SPB-69308","2025-12-01 01:38:28","03008","DMC역7번출구","0","2025-12-01 01:50:47","04685","DMC역 5번 출구(수색역 방향)","0","12","1347.46",\N,\N,\N,"ST-2166","ST-3095","일반자전거"
"SPB-48884","2025-12-01 01:42:29","04309","서초케이타운앞","0","2025-12-01 01:50:49","02539","대한무역투자진흥공사 KOTRA 앞","0","8","1603.77","1962","M","내국인","ST-2661","ST-2404","일반자전거"
"SPB-70068","2025-12-01 01:19:50","00184","망원우체국사거리 인근","0","2025-12-01 01:50:52","00907","CJ 드림시티","0","31","5917.90",\N,\N,\N,"ST-342","ST-455","일반자전거"
"SPB-44133","2025-12-01 01:44:00","01643","태릉입구역 8번출구","0","2025-12-01 01:50:52","04841","중화수경공원","0","6","1580.72","1999",\N,"내국인","ST-1111","ST-3168","일반자전거"
"SPB-64573","2025-12-01 00:47:26","01553","서울북부고용노동지청","0","2025-12-01 01:50:59","01569","수유역2번출구","0","63","1703.14","2009","M","내국인","ST-2126","ST-2137","일반자전거"
"SPB-57359","2025-12-01 01:44:27","04852","서울복합물류 게이트 1","0","2025-12-01 01:50:59","04475","송파파인타운 4단지 403동","0","6","940.00","1969","M","내국인","ST-2605","ST-2588","일반자전거"
"SPB-37474","2025-12-01 01:43:51","04035","휴플러스 수락한신아파트 101동 앞","0","2025-12-01 01:51:09","05329","상계주공15단지 1509동 앞","0","7","618.28",\N,\N,\N,"ST-2804","ST-3278","일반자전거"
"SPB-49124","2025-12-01 01:23:44","03570","구의역 리버비스타 오피스텔","0","2025-12-01 01:51:17","03501","K&S빌딩 앞","0","27","3727.91","2001","M","내국인","ST-2309","ST-984","일반자전거"
"SPB-67571","2025-12-01 01:47:06","01565","수유사거리","0","2025-12-01 01:51:22","01530","광산사거리","0","4","906.36","1982",\N,"내국인","ST-2134","ST-1104","일반자전거"
"SPB-71924","2025-12-01 01:36:01","00480","약수역 6번 출구","0","2025-12-01 01:51:22","00383","신당역 12번 출구 뒤","0","15","1487.84","1959",\N,"내국인","ST-1786","ST-198","일반자전거"
"SPB-71544","2025-12-01 01:42:32","01029","성내어울터","0","2025-12-01 01:51:29","01008","암사역 3번출구(국민은행앞)","0","8","1670.00","1992","F","내국인","ST-1046","ST-492","일반자전거"
"SPB-74883","2025-12-01 01:03:57","01608","공릉역 1번 출구 앞","0","2025-12-01 01:51:30","00576","광나루역 3번 출구","0","47","11484.63","2001",\N,"내국인","ST-735","ST-387","일반자전거"
"SPB-73300","2025-12-01 01:28:35","04891","위례포레나송파","0","2025-12-01 01:51:35","04864","송파사거리","0","23","4313.68","1996","F","내국인","ST-3004","ST-2796","일반자전거"
"SPB-38289","2025-12-01 01:31:39","00256","동아에코빌입구","0","2025-12-01 01:51:37","01911","구로디지털단지역 앞","0","19","3453.14","1981","M","내국인","ST-304","ST-668","일반자전거"
"SPB-74073","2025-12-01 01:07:28","00614","용두동 사거리","0","2025-12-01 01:51:47","04142","현대썬앤빌 앞","0","44","4536.32",\N,\N,\N,"ST-273","ST-3353","일반자전거"
"SPB-34859","2025-12-01 01:32:30","03881","신자초교입구 교차로","0","2025-12-01 01:51:49","00516","광진메디칼 앞","0","19","2216.96",\N,\N,\N,"ST-2865","ST-114","일반자전거"
"SPB-70138","2025-12-01 01:32:16","03881","신자초교입구 교차로","0","2025-12-01 01:51:56","00516","광진메디칼 앞","0","19","2213.00",\N,\N,\N,"ST-2865","ST-114","일반자전거"
"SPB-38660","2025-12-01 01:42:50","04136","롯데캐슬SKY-L65 D동 앞","0","2025-12-01 01:52:07","00610","동대문중 교차로","0","9","1067.06","2002","F","내국인","ST-3286","ST-270","일반자전거"
"SPB-48362","2025-12-01 00:28:57","04382","페코텍글로벌허브빌딩 앞","0","2025-12-01 01:52:11","02524","반포쇼핑타운 8동 앞","0","83","7590.00",\N,"F","내국인","ST-3043","ST-1909","일반자전거"
"SPB-57364","2025-12-01 01:44:22","02618","삼전역 1번출구","0","2025-12-01 01:52:13","02632","석촌고분역 2번 출구","0","7","1001.47","1988",\N,"내국인","ST-1728","ST-1859","일반자전거"
"SPB-31237","2025-12-01 01:44:53","01466","두산대림아파트 삼거리","0","2025-12-01 01:52:14","01684","태릉입구역 5번출구","0","7","1153.58","1959","M","내국인","ST-2287","ST-1474","일반자전거"
"SPB-61329","2025-12-01 01:48:47","01285","위례별 유치원 뒤","0","2025-12-01 01:52:17","01285","위례별 유치원 뒤","0","3","395.30","1961",\N,"내국인","ST-1416","ST-1416","일반자전거"
"SPB-72464","2025-12-01 01:30:43","01403","중화빌딩 앞 (동부시장)","0","2025-12-01 01:52:20","04110","용두롯데캐슬리치아파트 앞","0","22","4863.35",\N,\N,\N,"ST-566","ST-2502","일반자전거"
"SPB-82837","2025-12-01 01:50:37","00307","서울역사박물관 앞","99","2025-12-01 01:52:23","00303","광화문역 1번출구 앞","99","1","440.00","1978","M","내국인","ST-123","ST-119","새싹자전거"
"SPB-48523","2025-12-01 01:43:00","05323","하계역 4번출구 앞","0","2025-12-01 01:52:25","04011","월계 센트럴 아이파크","0","9","1675.19","2002",\N,"내국인","ST-3256","ST-2705","일반자전거"
"SPB-52090","2025-12-01 01:46:57","00782","서남병원 후문","0","2025-12-01 01:52:41","00712","강월초교입구 사거리","0","5","486.41",\N,"M","내국인","ST-2008","ST-319","일반자전거"
"SPB-69777","2025-12-01 01:46:26","00657","동대문롯데캐슬아파트 앞","0","2025-12-01 01:52:56","04145","청량리동 주민센터","0","6","1146.83",\N,\N,\N,"ST-1629","ST-3362","일반자전거"
"SPB-31858","2025-12-01 01:39:55","04824","상봉신협 앞","0","2025-12-01 01:52:56","01414","사가정역 2번출구","0","13","1845.47","1996",\N,"내국인","ST-2922","ST-849","일반자전거"
"SPB-74779","2025-12-01 01:40:13","04685","DMC역 5번 출구(수색역 방향)","0","2025-12-01 01:52:57","00195","모래내고가차도","0","12","1895.27","1956","M","내국인","ST-3095","ST-351","일반자전거"
"SPB-72181","2025-12-01 01:46:04","00911","은평평화공원(역촌역4번출구)","0","2025-12-01 01:52:58","00908","구산역 4번출구","0","6","939.79","1992","F","내국인","ST-459","ST-456","일반자전거"
"SPB-73032","2025-12-01 01:44:51","04868","석촌호수 서호 남단","0","2025-12-01 01:53:04","05768","방이삼거리","0","8","838.24","1963","M","내국인","ST-2833","ST-3214","일반자전거"
"SPB-58614","2025-12-01 01:48:51","01692","온곡초교 교차로","0","2025-12-01 01:53:05","01689","마들역 3번출구","0","4","724.39","1986","M","내국인","ST-1672","ST-1640","일반자전거"
"SPB-53092","2025-12-01 01:30:58","01010","강동세무서","0","2025-12-01 01:53:12","03699","상일파출소 옆","0","22","4198.31",\N,\N,\N,"ST-494","ST-3087","일반자전거"
"SPB-48761","2025-12-01 01:40:32","02325","대치삼성아파트 앞 교차로","0","2025-12-01 01:53:25","02427","개포고등학교 정문앞","0","12","1536.78",\N,\N,\N,"ST-808","ST-1893","일반자전거"
"SPB-56012","2025-12-01 01:50:53","02739","수명산파크1단지교차로","0","2025-12-01 01:53:29","02745","수명초등학교","0","2","463.19",\N,\N,\N,"ST-2056","ST-2412","일반자전거"
"SPB-52165","2025-12-01 00:44:56","01848","벽산 디지털밸리 5차","0","2025-12-01 01:53:32",\N,\N,\N,"30","3118.00","1987","M","내국인","ST-1149",\N,"일반자전거"
"SPB-74784","2025-12-01 01:47:08","01049","강일리버파크 10단지","0","2025-12-01 01:53:32","01021","강일동 리슈빌 빌딩앞","0","6","771.19",\N,\N,\N,"ST-1371","ST-504","일반자전거"
"SPB-64221","2025-12-01 01:23:21","02032","이수역 11번출구쪽","0","2025-12-01 01:53:36","02145","은천초등학교 육교","0","30","5116.05","1959","M","내국인","ST-923","ST-725","일반자전거"
"SPB-61098","2025-12-01 01:32:08","02418","봉은사역 7번 출구","0","2025-12-01 01:53:37","02315","봉은사역 5번출구 옆","0","21","2150.00",\N,\N,\N,"ST-1884","ST-799","일반자전거"
"SPB-73632","2025-12-01 01:39:18","02244","말죽거리공원 사거리","0","2025-12-01 01:53:39","02247","섬들근린공원","0","14","2270.94",\N,\N,\N,"ST-769","ST-771","일반자전거"
"SPB-64874","2025-12-01 01:39:31","02244","말죽거리공원 사거리","0","2025-12-01 01:53:41","02247","섬들근린공원","0","14","2280.63","2011","M","내국인","ST-769","ST-771","일반자전거"
"SPB-64592","2025-12-01 01:14:16","01646","삼육대 입구","0","2025-12-01 01:53:43","00670","삼육서울병원 버스정류장","0","39","7630.00",\N,\N,\N,"ST-1114","ST-2270","일반자전거"
"SPB-36753","2025-12-01 01:42:06","02641","송파역 4번출구","0","2025-12-01 01:53:49","01265","문정동 근린공원","0","11","1952.11","2005","M","내국인","ST-1793","ST-1084","일반자전거"
"SPB-73891","2025-12-01 01:43:40","01639","희성오피앙","0","2025-12-01 01:53:50","04091","방학역2번출구","0","10","1765.39","1990",\N,"내국인","ST-612","ST-3172","일반자전거"
"SPB-67926","2025-12-01 01:44:12","02620","송파나루역 4번 출구옆","0","2025-12-01 01:53:50","02658","가락몰 업무동","0","9","2058.54","1975","M","내국인","ST-1730","ST-2409","일반자전거"
"SPB-59057","2025-12-01 01:26:24","02377","수서역 5번출구","0","2025-12-01 01:54:00","02370","한티역 3번출구","0","27","5940.00","1980","M","내국인","ST-1186","ST-1179","일반자전거"
"SPB-64902","2025-12-01 01:04:10","04565","영등포 신세계백화점","0","2025-12-01 01:54:02","00263","근로자회관 사거리","0","49","2300.05",\N,\N,\N,"ST-2815","ST-417","일반자전거"
"SPB-47690","2025-12-01 01:31:28","05861","보라주유소 앞","0","2025-12-01 01:54:03","00254","도림신협 앞","0","22","2517.32","1979","M","내국인","ST-3170","ST-302","일반자전거"
"SPB-57396","2025-12-01 01:35:19","01569","수유역2번출구","0","2025-12-01 01:54:06","01340","광운초등학교 앞","0","18","3610.00","1985","M","내국인","ST-2137","ST-1204","일반자전거"
"SPB-65316","2025-12-01 01:42:10","01552","강북구청사거리","0","2025-12-01 01:54:08","03724","삼양동주민센터 앞","0","11","1910.83",\N,"M","내국인","ST-2125","ST-3184","일반자전거"
"SPB-45210","2025-12-01 01:46:34","01619","중계동 하나프라자빌딩 앞(중1-1)","0","2025-12-01 01:54:11","01668","중계역 6번출구","0","7","1516.89","1963","M","내국인","ST-736","ST-1285","일반자전거"
"SPB-51831","2025-12-01 01:45:47","02911","상계역중앙시장","0","2025-12-01 01:54:11","01683","노원문화예술회관","0","8","758.23","1986","M","내국인","ST-2077","ST-1473","일반자전거"
"SPB-47920","2025-12-01 01:31:50","01241","문정 법조단지5","0","2025-12-01 01:54:16","02639","석촌역 8번출구","0","22","3620.00","1992",\N,"내국인","ST-901","ST-1866","일반자전거"
"SPB-58176","2025-12-01 01:39:24","01758","솔밭공원역 1번출구 주변","0","2025-12-01 01:54:25","01503","강북구청사거리(수유역 8번출구)","0","15","2595.21",\N,\N,\N,"ST-2103","ST-643","일반자전거"
"SPB-51180","2025-12-01 01:46:10","03681","길동 마루빌딩","0","2025-12-01 01:54:28","01074","대명초교입구 사거리","0","8","1311.99","2001","M","내국인","ST-2749","ST-1835","일반자전거"
"SPB-73803","2025-12-01 01:30:52","01112","마곡엠밸리4단지 정문","0","2025-12-01 01:54:28","01112","마곡엠밸리4단지 정문","0","23","966.67","1992","M","내국인","ST-513","ST-513","일반자전거"
"SPB-63069","2025-12-01 01:46:02","02915","서울과학기술대학교(어학교육원)","0","2025-12-01 01:54:34","04041","공릉역3번출구","0","8","1581.39","2002","F","내국인","ST-2081","ST-2896","일반자전거"
"SPB-67923","2025-12-01 01:47:45","03726","삼양동사거리","0","2025-12-01 01:54:41","01346","길음8골어린이공원 옆","0","6","1051.18","2007","M","내국인","ST-3234","ST-1210","일반자전거"
"SPB-71446","2025-12-01 01:50:53","04509","서울영상고교 입구","0","2025-12-01 01:54:43","04510","신정네거리역 교차로","0","3","693.49","1999","M","내국인","ST-2761","ST-2762","일반자전거"
"SPB-73186","2025-12-01 01:36:37","01070","(시립)고덕평생학습관","0","2025-12-01 01:54:43","03681","길동 마루빌딩","0","18","3293.91","1974","M","내국인","ST-1831","ST-2749","일반자전거"
"SPB-44585","2025-12-01 01:25:26","01455","상봉역 2번 출구","0","2025-12-01 01:54:44","04830","신내 우디안 111동 앞","0","29","230.20","1978",\N,"내국인","ST-1375","ST-3036","일반자전거"
"SPB-47932","2025-12-01 01:47:40","03726","삼양동사거리","0","2025-12-01 01:54:44","01346","길음8골어린이공원 옆","0","7","1078.88",\N,\N,"내국인","ST-3234","ST-1210","일반자전거"
"SPB-30902","2025-12-01 00:13:10","01190","마곡역 교차로(2번출구)","0","2025-12-01 01:54:45","04532","목동현대아파트 후문 앞","0","101","6224.11","1989","F","내국인","ST-1709","ST-2879","일반자전거"
"SPB-53963","2025-12-01 01:35:27","00217","NH농협은행 앞","0","2025-12-01 01:54:48","02077","노들역 3번출구","0","19","3167.15","1985","M","내국인","ST-66","ST-2350","일반자전거"
"SPB-36245","2025-12-01 01:40:06","01924","삼부르네상스파크빌","0","2025-12-01 01:54:52","04567","한림대학교 강남성심병원 신관","0","14","2147.21","2000",\N,"내국인","ST-674","ST-2817","일반자전거"
"SPB-33182","2025-12-01 01:52:19","04807","라코지스테이 앞","0","2025-12-01 01:54:53","04846","상봉동양엔파트 앞","0","2","0.00","1994",\N,"내국인","ST-2631","ST-3345","일반자전거"
"SPB-62386","2025-12-01 01:42:40","01831","한국전력 구로금천지사 앞","0","2025-12-01 01:54:55","03986","청년주택 독산동점","0","12","1430.00","1986","M","내국인","ST-638","ST-3196","일반자전거"
"SPB-65838","2025-12-01 01:42:05","01831","한국전력 구로금천지사 앞","0","2025-12-01 01:54:59","03986","청년주택 독산동점","0","12","1243.20",\N,\N,\N,"ST-638","ST-3196","일반자전거"
